Dataset,number_bands,beta,rep,accuracy
indianpines,28,10.0,6,0.7685636856368564
indianpines,28,1.0,7,0.7865582655826558
indianpines,28,3.0,7,0.7734417344173442
indianpines,28,5.0,7,0.7803794037940379
indianpines,28,10.0,7,0.7725745257452574
indianpines,28,1.0,8,0.7871002710027101
indianpines,28,3.0,8,0.776910569105691
indianpines,28,5.0,8,0.7628184281842818
indianpines,28,10.0,8,0.7614092140921409
indianpines,28,1.0,9,0.7807046070460705
indianpines,28,3.0,9,0.791219512195122
indianpines,28,5.0,9,0.7808130081300813
indianpines,28,10.0,9,0.7594579945799458
indianpines,30,1.0,0,0.766070460704607
indianpines,30,3.0,0,0.7662872628726287
indianpines,30,5.0,0,0.7763685636856369
indianpines,30,10.0,0,0.7772357723577236
indianpines,30,1.0,1,0.7567479674796748
indianpines,30,3.0,1,0.7662872628726287
indianpines,30,5.0,1,0.7801626016260162
indianpines,30,10.0,1,0.7860162601626016
indianpines,30,1.0,2,0.7778861788617886
indianpines,30,3.0,2,0.7803794037940379
indianpines,30,5.0,2,0.7846070460704607
indianpines,30,10.0,2,0.7585907859078591
indianpines,30,1.0,3,0.7731165311653116
indianpines,30,3.0,3,0.747750677506775
indianpines,30,5.0,3,0.7777777777777778
indianpines,30,10.0,3,0.7726829268292683
indianpines,30,1.0,4,0.7775609756097561
indianpines,30,3.0,4,0.7663956639566396
indianpines,30,5.0,4,0.7960975609756098
indianpines,30,10.0,4,0.7615176151761518
indianpines,30,1.0,5,0.7631436314363144
indianpines,30,3.0,5,0.7790785907859079
indianpines,30,5.0,5,0.7824390243902439
indianpines,30,10.0,5,0.7508943089430894
indianpines,30,1.0,6,0.775609756097561
indianpines,30,3.0,6,0.7894850948509485
indianpines,30,5.0,6,0.8002168021680217
indianpines,30,10.0,6,0.782330623306233
indianpines,30,1.0,7,0.7732249322493225
indianpines,30,3.0,7,0.778970189701897
indianpines,30,5.0,7,0.7874254742547425
indianpines,30,10.0,7,0.7694308943089431
indianpines,30,1.0,8,0.7663956639566396
indianpines,30,3.0,8,0.7693224932249323
indianpines,30,5.0,8,0.7995663956639566
indianpines,30,10.0,8,0.7721409214092141
indianpines,30,1.0,9,0.7837398373983739
indianpines,30,3.0,9,0.7781029810298103
indianpines,30,5.0,9,0.7977235772357724
indianpines,30,10.0,9,0.7852574525745257
indianpines,32,1.0,0,0.7958807588075881
indianpines,32,3.0,0,0.7779945799457995
indianpines,32,5.0,0,0.8130081300813008
indianpines,32,10.0,0,0.7892682926829269
indianpines,32,1.0,1,0.7828726287262873
indianpines,32,3.0,1,0.7784281842818428
indianpines,32,5.0,1,0.8067208672086721
indianpines,32,10.0,1,0.7787533875338754
indianpines,32,1.0,2,0.7817886178861788
indianpines,32,3.0,2,0.7838482384823848
indianpines,32,5.0,2,0.7848238482384824
indianpines,32,10.0,2,0.7930623306233062
indianpines,32,1.0,3,0.7913279132791328
indianpines,32,3.0,3,0.7785365853658537
indianpines,32,5.0,3,0.785149051490515
indianpines,32,10.0,3,0.7724661246612466
indianpines,32,1.0,4,0.7950135501355013
indianpines,32,3.0,4,0.778319783197832
indianpines,32,5.0,4,0.8087804878048781
indianpines,32,10.0,4,0.7828726287262873
indianpines,32,1.0,5,0.7673712737127372
indianpines,32,3.0,5,0.7779945799457995
indianpines,32,5.0,5,0.7871002710027101
indianpines,32,10.0,5,0.7850406504065041
indianpines,32,1.0,6,0.7960975609756098
indianpines,32,3.0,6,0.7874254742547425
indianpines,32,5.0,6,0.8011924119241193
indianpines,32,10.0,6,0.7673712737127372
indianpines,32,1.0,7,0.7740921409214092
indianpines,32,3.0,7,0.7653116531165312
indianpines,32,5.0,7,0.7807046070460705
indianpines,32,10.0,7,0.8073712737127371
indianpines,32,1.0,8,0.7684552845528455
indianpines,32,3.0,8,0.7747425474254742
indianpines,32,5.0,8,0.7914363143631437
